title,text,rating,date,username,verified,source
,"Revolut is very convenient , and gives a prompt service . This company is doing very well and is impeccabile .
Thank you !",,2026-03-20T10:03:21.000Z,IC,False,Trustpilot
,"Love Revolut.  I earn sterling but live in Ireland, so it’s a fantastic bank for currency exchange.  So easy to use.",,2026-03-20T19:54:27.000Z,RO,False,Trustpilot
,Easy to use no charge while i was away  abroard in Turkey at atm machine good confersion rate,,2026-03-20T20:07:07.000Z,RO,False,Trustpilot
,"Great banking app, includes other services and rewards as well that help a lot, especially for people living in a foreign country!!",,2026-03-20T19:49:08.000Z,CM,False,Trustpilot
,I am satisfied with the service of Revolut. I hope the fees are goning to be kept low in the future at least as much as it is now.,,2026-03-20T08:31:56.000Z,BA,False,Trustpilot
,"Very fast and professional team, smooth app and I have received an amazing offer for my house mortgage!",,2026-03-20T15:39:29.000Z,IJ,False,Trustpilot
,"I have been trying to delete a partially created Revolut account; they only have my e-mail, phone number, and name. Despite this, they have been sending me repeated emails for months, requesting more... See more",,2026-03-20T14:56:08.000Z,GL,False,Trustpilot
,"I got a worse account conditions since my account was transferred to Hungary.  I have to pay 0,5 percent transfer fees...",,2026-03-20T13:30:44.000Z,GK,False,Trustpilot
,"Best bank i can't wait to open a business account with Revolut 
Try it you will not be disappointed",,2026-03-20T19:41:09.000Z,AN,False,Trustpilot
,I've been using Revolut for about 2 1/2 years now. No complaints. Once they saved me from a semi-scam subscription service by automatically blocking the payment and then asking me whether to allow i... See more,,2026-03-20T05:18:45.000Z,JK,False,Trustpilot
,"Best Payments/ Financial/ Banking App I have ever used, Fast transit, great benefits for free version, Highly recommended for everyone, I hope this app get to the north African market. will make your... See more",,2026-03-19T19:36:44.000Z,MB,False,Trustpilot
,The card arrived  diligently. Account fees are reasonnable. Easy to use and to learn how to invest.,,2026-03-20T20:38:05.000Z,CA,False,Trustpilot
,Very user friendly all payments/purchases a click away.I will be availing of more of your services in the near future.,,2026-03-20T23:01:42.000Z,DA,False,Trustpilot
,"Easy to use, fast and reliable. Looking forward to upgrading my plan and getting even more benefits.",,2026-03-20T08:59:20.000Z,IV,False,Trustpilot
,Fourth day that i can't login into my account and i can't use my money. Revolut support continues to ask me sending them a video recording when trying to login. I tell them that i don't have a second... See more,,2026-03-20T18:21:25.000Z,MS,False,Trustpilot
,Feel confident when using card abroad and great that you give an immediate update of account status even checking that the user is the card owner after several purchases when tapping card.,,2026-03-20T19:40:32.000Z,MC,False,Trustpilot
,I have know worries using my card. And it's easy to explain to people how to keep a check on your balance and to add extra money,,2026-03-20T20:05:29.000Z,CW,False,Trustpilot
,It’s just a user friendly bank and the other pillar banks are now beginning to copy them.,,2026-03-20T20:31:29.000Z,AH,False,Trustpilot
,Simple and understandable communication in all areas. I feel safe and so does my money.,,2026-03-20T21:08:38.000Z,AJ,False,Trustpilot
,"Really happy with the service I am receiving.
Revolut seems to be the best Online account.",,2026-03-20T20:51:04.000Z,GS,False,Trustpilot
,I love the no and low fees for getting foreign currency and sending money abroad. Having this card is a game changer.,,2026-03-19T19:42:52.000Z,Jill Aisher,False,Trustpilot
,"I've never had a problem with anything including spending, saving and/or loans. My main worry is that I can't go into a branch if something does go wrong. Otherwise I would consider moving my business... See more",,2026-03-19T23:34:58.000Z,TM,False,Trustpilot
,Been using for over 3 years and its amazing especially sending money for my family overseas.,,2026-03-20T19:39:14.000Z,MV,False,Trustpilot
Great application,"Great application, easy and useful!",,2026-03-27T16:00:11.000Z,YU,False,Trustpilot
Best,Super Bank!,,2026-03-27T15:49:08.000Z,CI,False,Trustpilot
Je to super účet,Je to super účet,,2026-03-27T15:41:44.000Z,MP,False,Trustpilot
It's have convenient banking system,More informative and helpful,,2026-03-27T15:03:19.000Z,ZK,False,Trustpilot
Application conviviale rien a dire de…,Application conviviale rien a dire de particulier.Point noir : retrait payant au dab                       Trop de publicité,,2026-03-27T14:53:19.000Z,PI,False,Trustpilot
I can’t seem to get into my revolut…,I can’t seem to get into my revolut app. It says a security alert,,2026-03-27T14:51:25.000Z,RM,False,Trustpilot
Payment taken from my card while walking through  Euston Station!!,"Having travelled from Stoke-on-trent to Euston, myself and 4 friends were assisted   at Euston Station and driven and escorted to the taxi rank. I nipped to the toilet then walked back to the taxi which  took us to Fenchurch Station. I had walked no more than 50 meters in less than 5 minutes. I did not either buy a ticket or travel on the Underground but  a charge of  £9.40 for an Underground ticket was charged to my card. When is disputed this I was told I must have given my details to someone, I had the card and my phone in my bag!! I was not happy with either the way the dispute was handled or the outcome!",,2026-03-27T14:48:32.000Z,SG,False,Trustpilot
Very easy to use,Very easy to use. Instant transactions appear on your phone.Very easy to top up funds.This card is amazing when travelling .,,2026-03-27T14:33:30.000Z,FA,False,Trustpilot
Very good,Very good..,,2026-03-27T14:23:44.000Z,MB,False,Trustpilot
It’s a great way to keep track of all…,It’s a great way to keep track of all your transactions in real time.,,2026-03-27T14:06:08.000Z,DA,False,Trustpilot
Im really like and love this revolut…,Im really like and love this revolut Its great to be part of this company thank you so much and I appreciate that,,2026-03-27T14:01:26.000Z,YD,False,Trustpilot
It was very easy to transfer currencies.,It was easy to transfer money from pound sterling to foreign currency and to top up the card . It was linked to another payment system abroad and was easy to link snd use.,,2026-03-27T13:59:01.000Z,PK,False,Trustpilot
The first worry free banking ever.,The first worry free banking ever.,,2026-03-27T13:57:20.000Z,AN,False,Trustpilot
Yes 😌,Good nice pince,,2026-03-27T13:51:07.000Z,ÁR,False,Trustpilot
Powerful but simple to use,"Easy, effective and reliable mechanisms for management of accounts. Simple access to investments and crypto all seamlessly linked.  Ability to quickly flex between different currencies at the market rate is hugely attractive to frequent travellers.",,2026-03-27T13:12:54.000Z,VB,False,Trustpilot
Very disappointed,"Very disappointed, after submitting a dispute for purchasing something which never arrived and having to go back and forth with Revolut and the retailer (Bolt medical) I’m still waiting on a refund despite submitting clear evidence that Bolt medical are at fault and they sent a screenshot showing they accepted the dispute. Revolut have still not refunded and whenever I try to talk to someone it feels like AI.",,2026-03-27T13:09:00.000Z,KI,False,Trustpilot
good morning since when I'm be using…,good morning since when I'm be using this bank everything is going nice I love it I want to keeping my bank going if you guys have anything for me should not fair to let me know thank you,,2026-03-27T13:05:44.000Z,RO,False,Trustpilot
Easy and efficient,Easy and efficient. Perfect,,2026-03-27T13:04:35.000Z,KK,False,Trustpilot
,"Since I started using this card, I haven't had any problems. The start was a bit bumpy because the first card never arrived. But the second card came as promised. Transfers are straightforward, and i... See more",,2026-03-20T12:01:04.000Z,TH,False,Trustpilot
,I have experienced hackers.on free wifi even changing software giving.me.wierd bills to pay and revolut have uncomplicated my digital life and got.good.invest options not to get rich but to have revol... See more,,2026-03-20T17:44:05.000Z,BH,False,Trustpilot
,"I find revolut so easy to use and everything transaction is immediately available to see on the app
 I find it so handy when travelling as it saves me having to get different currencies each time I t... See more",,2026-03-20T20:14:10.000Z,ML,False,Trustpilot
,Fast money transfer processing enabling GBP to be moved to Euro accounts and then transferred to private Euro account in a couple of minutes.  When money is needed abroad quickly this has been extreme... See more,,2026-03-20T09:02:17.000Z,PE,False,Trustpilot
,"Easy sign up, almost instant availability, easy to add funds and prompt delivery of physical card. I’m using mine routinely and so far have no grounds to grumble.",,2026-03-20T19:43:02.000Z,GS,False,Trustpilot
,"Loving my new revolut card and app, I can see exactly what I spend, its easy to transfer money on to my app/ card/ phone
Revolut keeps me up to date with everything. 
Highly recommend especially if... See more",,2026-03-20T09:30:33.000Z,SA,False,Trustpilot
,I was astounded by how excellent this banking app is. Revolut boasts a modern design and is incredibly user-friendly. Everything operates swiftly and seamlessly. I highly recommend it to anyone seekin... See more,,2026-03-20T19:49:48.000Z,KH,False,Trustpilot
,I only use my Revolut Card while on holiday. I top it up before we go then watch the transactions every day so I always know just how much I have spent! Whether in the USA or Europe it’s been a godsen... See more,,2026-03-20T16:32:55.000Z,LM,False,Trustpilot
,"Sometimes there are errors paying or withdrawing money or adding money from PayPal to the Debit Card. Stimmt Service fees are low and not paying a penny per month. 

Very good experience and pricing... See more",,2026-03-20T02:02:48.000Z,EH,False,Trustpilot
,Revolut has made everyday banking feel simple and stress‑free for me. Very quick signup and onboarding.  Everyday use is smooth with instant notifications after every transaction.  Excellent for trave... See more,,2026-03-20T20:24:38.000Z,KA,False,Trustpilot
,"Foreign exchange facility is so great. Rates are always better than other banks and using it is seamless. This is on top of all the other benefits of Revolut, bill sharing, instant transfers etc",,2026-03-20T23:56:23.000Z,EJ,False,Trustpilot
,"Super easy to use, makes me feel safe,can use it anytime to send money to my kids or elsewhere when I don't feel like using other card! No secret charges, highly recommend!",,2026-03-20T20:08:19.000Z,ΚA,False,Trustpilot
,"I find it very convenient to send/receive payments between friends and relatives. I also like the savings funds in different currencies, the rates are attractive and it's so easy to transfer money. It... See more",,2026-03-20T18:21:38.000Z,JA,False,Trustpilot
,I have been. Rev customer for about 10 years and I think it’s a fabulous financial accessory. I love the fact that I can carry money in multiple currencies which helps greatly when I’m travelling to a... See more,,2026-03-18T21:24:51.000Z,GM,False,Trustpilot
,"I find the app so easy to use, text of what has been spend and the amount left in the account helps with budgeting finances therefore stops over spending.",,2026-03-20T18:22:47.000Z,AG,False,Trustpilot
,The App is easy to use I'm hoping nothing changes when the transfer to a bank is fully intact. This has better features than regular banks.,,2026-03-20T19:56:05.000Z,TE,False,Trustpilot
,"My Revolut card meant that topping up the local currency as required could not be a simpler process.
It is a remarkably efficient way of managing funds and a budget when travelling.",,2026-03-19T11:00:22.000Z,JC,False,Trustpilot
,Very quick and efficient service with competitive exchange rates offered when transferring £s to €s.  Payments are made quickly and funds arrive promptly,,2026-03-19T11:45:19.000Z,IE,False,Trustpilot
,"This is the worst bank i have ever had, they’re literally chasing and harassing me and many other people i have talked to for every transaction as little as 50usd and even equivalent small transfers t... See more",,2026-03-20T10:16:40.000Z,MQ,False,Trustpilot
,"I am satisfied with Revolut. However:
Over the past two and a half weeks, I was in Germany arranging a funeral. Unfortunately, card payments were not accepted, so I had to withdraw cash. I was disa... See more",,2026-03-20T19:15:27.000Z,ZV,False,Trustpilot
,"Perfect app, very clear, with instant payments. Never had an issue or any kind of error. There’s nothing I can find that isn’t good.",,2026-03-20T08:28:20.000Z,CH,False,Trustpilot
,"Easy to use, no additional charges and able to use so many currencies 
Will need to migrate more cash into the account to cover",,2026-03-21T04:08:03.000Z,JK,False,Trustpilot
,"I’ve been using Revolut and it’s been great so far. The app is easy to use, fast and perfect for managing money, especially for regular use. Everything from payments to budgeting feels simple and conv... See more",,2026-03-20T03:09:34.000Z,IA,False,Trustpilot
,The main issue is transaction dispute due to continued issues with merchant delivery. I submitted a transaction dispute and was emailed saying it would take 3 days to receive an outcome. Day 2 Rev... See more,,2026-03-19T16:02:16.000Z,TA,False,Trustpilot
,"Think very carefully before opening an account with this lot. I started to save money with Revolut, for a holiday to south east Asia. To use the card abroad. With the conflict in the Middle East, my h... See more",,2026-03-19T11:34:15.000Z,SC,False,Trustpilot
,Very quick and easy and no delays in making the transfers - I used to use Wise but started to experience hours in making the transfer rather than the seconds they predicted,,2026-03-20T04:49:32.000Z,SB,False,Trustpilot
,"It’s so easy to use. Friendly environment. I send money to Mexico every month from the Netherlands and I trust you 100% on the fees, speed and currency! Sooooo happy to be part of Revolut.",,2026-03-20T22:37:32.000Z,AM,False,Trustpilot
,"Revolut is by far one of the worst banks I have ever dealt with.

I simply tried to transfer money from my Portuguese bank account to buy cryptocurrency and send it to my Binance account. We’r... See more",,2026-03-19T18:26:59.000Z,Fedor Kiselev,False,Trustpilot
,"Love this card spend  at home.e and on holidays, love that you can put money on it for holidays. I have recommended this card to loads of my friends they love ,love the app it's excellent.",,2026-03-20T05:55:11.000Z,MJ,False,Trustpilot
,"Revolut stands out for maintaining a reliable and well-managed transaction system, giving users confidence when handling payments and transfers. The platform is also consistently updated, and what mak... See more",,2026-03-20T20:34:48.000Z,OK,False,Trustpilot
,I love Revolut online accounts on thing I will like to review my online trading to be transfer on it and every time I have to activate something like put money,,2026-03-20T19:37:05.000Z,PP,False,Trustpilot
,"Revolut is very convenient , and gives a prompt service . This company is doing very well and is impeccabile .
Thank you !",,2026-03-20T10:03:21.000Z,IC,False,Trustpilot
,"Love Revolut.  I earn sterling but live in Ireland, so it’s a fantastic bank for currency exchange.  So easy to use.",,2026-03-20T19:54:27.000Z,RO,False,Trustpilot
,Easy to use no charge while i was away  abroard in Turkey at atm machine good confersion rate,,2026-03-20T20:07:07.000Z,RO,False,Trustpilot
,"Great banking app, includes other services and rewards as well that help a lot, especially for people living in a foreign country!!",,2026-03-20T19:49:08.000Z,CM,False,Trustpilot
,I am satisfied with the service of Revolut. I hope the fees are goning to be kept low in the future at least as much as it is now.,,2026-03-20T08:31:56.000Z,BA,False,Trustpilot
,"Very fast and professional team, smooth app and I have received an amazing offer for my house mortgage!",,2026-03-20T15:39:29.000Z,IJ,False,Trustpilot
,"I have been trying to delete a partially created Revolut account; they only have my e-mail, phone number, and name. Despite this, they have been sending me repeated emails for months, requesting more... See more",,2026-03-20T14:56:08.000Z,GL,False,Trustpilot
,"I got a worse account conditions since my account was transferred to Hungary.  I have to pay 0,5 percent transfer fees...",,2026-03-20T13:30:44.000Z,GK,False,Trustpilot
,"Best bank i can't wait to open a business account with Revolut 
Try it you will not be disappointed",,2026-03-20T19:41:09.000Z,AN,False,Trustpilot
,I've been using Revolut for about 2 1/2 years now. No complaints. Once they saved me from a semi-scam subscription service by automatically blocking the payment and then asking me whether to allow i... See more,,2026-03-20T05:18:45.000Z,JK,False,Trustpilot
,"Best Payments/ Financial/ Banking App I have ever used, Fast transit, great benefits for free version, Highly recommended for everyone, I hope this app get to the north African market. will make your... See more",,2026-03-19T19:36:44.000Z,MB,False,Trustpilot
,The card arrived  diligently. Account fees are reasonnable. Easy to use and to learn how to invest.,,2026-03-20T20:38:05.000Z,CA,False,Trustpilot
,Very user friendly all payments/purchases a click away.I will be availing of more of your services in the near future.,,2026-03-20T23:01:42.000Z,DA,False,Trustpilot
,"Easy to use, fast and reliable. Looking forward to upgrading my plan and getting even more benefits.",,2026-03-20T08:59:20.000Z,IV,False,Trustpilot
,Fourth day that i can't login into my account and i can't use my money. Revolut support continues to ask me sending them a video recording when trying to login. I tell them that i don't have a second... See more,,2026-03-20T18:21:25.000Z,MS,False,Trustpilot
,Feel confident when using card abroad and great that you give an immediate update of account status even checking that the user is the card owner after several purchases when tapping card.,,2026-03-20T19:40:32.000Z,MC,False,Trustpilot
,I have know worries using my card. And it's easy to explain to people how to keep a check on your balance and to add extra money,,2026-03-20T20:05:29.000Z,CW,False,Trustpilot
,It’s just a user friendly bank and the other pillar banks are now beginning to copy them.,,2026-03-20T20:31:29.000Z,AH,False,Trustpilot
,Simple and understandable communication in all areas. I feel safe and so does my money.,,2026-03-20T21:08:38.000Z,AJ,False,Trustpilot
,"Really happy with the service I am receiving.
Revolut seems to be the best Online account.",,2026-03-20T20:51:04.000Z,GS,False,Trustpilot
,I love the no and low fees for getting foreign currency and sending money abroad. Having this card is a game changer.,,2026-03-19T19:42:52.000Z,Jill Aisher,False,Trustpilot
,"I've never had a problem with anything including spending, saving and/or loans. My main worry is that I can't go into a branch if something does go wrong. Otherwise I would consider moving my business... See more",,2026-03-19T23:34:58.000Z,TM,False,Trustpilot
,Been using for over 3 years and its amazing especially sending money for my family overseas.,,2026-03-20T19:39:14.000Z,MV,False,Trustpilot
Well done Revolut,"It is very convenient to shop online. As well as traveling, everything works fast and stable.Well, I must say that there is a lot of intrusive promotion.",,2026-03-27T12:39:30.000Z,Nshan Avagyan,False,Trustpilot
The Magic of Universal Energy,"Revolut is perfect for the ever day spend, easy sending money to loved ones and while travelling. My card was damaged and it was easy enough to get it replaced while still having access to my account through the phone. Like it, love it, use it, it has it all.",,2026-03-27T12:33:30.000Z,MA,False,Trustpilot
Great Service,Great Service which has made my financial and exchange transactions so simple and speedy. The ease and cost of exchange service is the best I have experienced in 20 years.,,2026-03-27T12:23:36.000Z,Jeff Benton,False,Trustpilot
I have had very smooth transaction…,I have had very smooth transaction through them .,,2026-03-27T12:05:06.000Z,NP,False,Trustpilot
the risk and the best way to invest,My experience with Revokut is very good. I can send receive money and also pay and earn discounts and benefits.,,2026-03-27T11:59:39.000Z,NS,False,Trustpilot
Great experience!!,Great experience!!,,2026-03-27T11:54:20.000Z,GC,False,Trustpilot
Trustable,"Trustable,  good customer care service.",,2026-03-27T11:44:54.000Z,PF,False,Trustpilot
Great,I like it Revolut,,2026-03-27T11:35:29.000Z,MF,False,Trustpilot
Love how money goes in so quike and…,Love how money goes in so quike and also all.ur money u can get out,,2026-03-27T11:32:19.000Z,CJ,False,Trustpilot
They don't even deserve a 1-star,"They don't even deserve a 1-starThis company locked me out of my account on 10th Of march, under the cause of ""secuirity checks"" which they decided to conduct because I tried to pay off my revolut balance. It has been 17 days now WITHOUT any progress or update with regards my case. Their support is useless, all they do is copy-paste a generic response using AI.They don't care what I am going to eat, drink or put in my car.  They don't care about their clients, all they do is take your money, hold it for unforseenable amount of time and there is literally nothing you can do about it.They are the worst company, they don't give  you the choice to withdraw your funds and close down your account. They steal your money like a tyrannical dragon and refuse to give it back indefinitely.",,2026-03-27T11:27:53.000Z,Anthony Lovatt,False,Trustpilot
"Ok, with some concers","Ok, but for the RevPoints, there should be more options for spending in more ways.",,2026-03-27T11:22:11.000Z,CD,False,Trustpilot
Easy to use app,Easy to use app. Can check if payment went out immediately. Peace of mind abroad rather than carrying cash,,2026-03-27T11:15:22.000Z,MG,False,Trustpilot
Very easy to use,Very easy to use,,2026-03-27T11:12:38.000Z,LO,False,Trustpilot
Good enough Ig,Good enough,,2026-03-27T11:05:08.000Z,RG,False,Trustpilot
I enjoying using Revolut thank and more…,I enjoying using Revolut thank and more power god bless,,2026-03-27T10:54:23.000Z,YB,False,Trustpilot
Revolut,"A lot of abilities, comfy to use, great support: totally satisfy.",,2026-03-27T10:39:53.000Z,Yulia On Ice,False,Trustpilot
,"Since I started using this card, I haven't had any problems. The start was a bit bumpy because the first card never arrived. But the second card came as promised. Transfers are straightforward, and i... See more",,2026-03-20T12:01:04.000Z,TH,False,Trustpilot
,I have experienced hackers.on free wifi even changing software giving.me.wierd bills to pay and revolut have uncomplicated my digital life and got.good.invest options not to get rich but to have revol... See more,,2026-03-20T17:44:05.000Z,BH,False,Trustpilot
,"I find revolut so easy to use and everything transaction is immediately available to see on the app
 I find it so handy when travelling as it saves me having to get different currencies each time I t... See more",,2026-03-20T20:14:10.000Z,ML,False,Trustpilot
,Fast money transfer processing enabling GBP to be moved to Euro accounts and then transferred to private Euro account in a couple of minutes.  When money is needed abroad quickly this has been extreme... See more,,2026-03-20T09:02:17.000Z,PE,False,Trustpilot
,"Easy sign up, almost instant availability, easy to add funds and prompt delivery of physical card. I’m using mine routinely and so far have no grounds to grumble.",,2026-03-20T19:43:02.000Z,GS,False,Trustpilot
,"Loving my new revolut card and app, I can see exactly what I spend, its easy to transfer money on to my app/ card/ phone
Revolut keeps me up to date with everything. 
Highly recommend especially if... See more",,2026-03-20T09:30:33.000Z,SA,False,Trustpilot
,I was astounded by how excellent this banking app is. Revolut boasts a modern design and is incredibly user-friendly. Everything operates swiftly and seamlessly. I highly recommend it to anyone seekin... See more,,2026-03-20T19:49:48.000Z,KH,False,Trustpilot
,I only use my Revolut Card while on holiday. I top it up before we go then watch the transactions every day so I always know just how much I have spent! Whether in the USA or Europe it’s been a godsen... See more,,2026-03-20T16:32:55.000Z,LM,False,Trustpilot
,"Sometimes there are errors paying or withdrawing money or adding money from PayPal to the Debit Card. Stimmt Service fees are low and not paying a penny per month. 

Very good experience and pricing... See more",,2026-03-20T02:02:48.000Z,EH,False,Trustpilot
,Revolut has made everyday banking feel simple and stress‑free for me. Very quick signup and onboarding.  Everyday use is smooth with instant notifications after every transaction.  Excellent for trave... See more,,2026-03-20T20:24:38.000Z,KA,False,Trustpilot
,"Foreign exchange facility is so great. Rates are always better than other banks and using it is seamless. This is on top of all the other benefits of Revolut, bill sharing, instant transfers etc",,2026-03-20T23:56:23.000Z,EJ,False,Trustpilot
,"Super easy to use, makes me feel safe,can use it anytime to send money to my kids or elsewhere when I don't feel like using other card! No secret charges, highly recommend!",,2026-03-20T20:08:19.000Z,ΚA,False,Trustpilot
,"I find it very convenient to send/receive payments between friends and relatives. I also like the savings funds in different currencies, the rates are attractive and it's so easy to transfer money. It... See more",,2026-03-20T18:21:38.000Z,JA,False,Trustpilot
,I have been. Rev customer for about 10 years and I think it’s a fabulous financial accessory. I love the fact that I can carry money in multiple currencies which helps greatly when I’m travelling to a... See more,,2026-03-18T21:24:51.000Z,GM,False,Trustpilot
,"I find the app so easy to use, text of what has been spend and the amount left in the account helps with budgeting finances therefore stops over spending.",,2026-03-20T18:22:47.000Z,AG,False,Trustpilot
,The App is easy to use I'm hoping nothing changes when the transfer to a bank is fully intact. This has better features than regular banks.,,2026-03-20T19:56:05.000Z,TE,False,Trustpilot
,"My Revolut card meant that topping up the local currency as required could not be a simpler process.
It is a remarkably efficient way of managing funds and a budget when travelling.",,2026-03-19T11:00:22.000Z,JC,False,Trustpilot
,Very quick and efficient service with competitive exchange rates offered when transferring £s to €s.  Payments are made quickly and funds arrive promptly,,2026-03-19T11:45:19.000Z,IE,False,Trustpilot
,"This is the worst bank i have ever had, they’re literally chasing and harassing me and many other people i have talked to for every transaction as little as 50usd and even equivalent small transfers t... See more",,2026-03-20T10:16:40.000Z,MQ,False,Trustpilot
,"I am satisfied with Revolut. However:
Over the past two and a half weeks, I was in Germany arranging a funeral. Unfortunately, card payments were not accepted, so I had to withdraw cash. I was disa... See more",,2026-03-20T19:15:27.000Z,ZV,False,Trustpilot
,"Perfect app, very clear, with instant payments. Never had an issue or any kind of error. There’s nothing I can find that isn’t good.",,2026-03-20T08:28:20.000Z,CH,False,Trustpilot
,"Easy to use, no additional charges and able to use so many currencies 
Will need to migrate more cash into the account to cover",,2026-03-21T04:08:03.000Z,JK,False,Trustpilot
